List of Peers from Seeds: 
Started mining
Block:97:9497:58702:1607346930|127.0.0.1:8001
Block:97:9497:942:1607346931|127.0.0.1:8002
Block:98:30360:60623:1607346934|127.0.0.1:8001
Block:98:56209:3432:1607346936|127.0.0.1:8002
Block:99:52373:21768:1607346939|127.0.0.1:8002
Block:100:43700:36770:1607346946|127.0.0.1:8001
Block:101:54226:40171:1607346950|127.0.0.1:8002
Block:102:13673:7788:1607346951|127.0.0.1:8002
Block:103:29117:46737:1607346953|127.0.0.1:8001
Block:104:27402:5543:1607346960|127.0.0.1:8001
Block:105:22356:53275:1607346963|127.0.0.1:8001
Block:105:22356:17938:1607346964|127.0.0.1:8002
Block:106:45426:37045:1607346965|127.0.0.1:8002
Block:106:53832:15464:1607346965|127.0.0.1:8001
Block:107:26261:1197:1607346968|127.0.0.1:8002
Block:107:4232:16105:1607346969|127.0.0.1:8001
Block:108:15170:4211:1607346970|127.0.0.1:8002
Block:109:28947:29085:1607346970|127.0.0.1:8002
Block:110:18498:5803:1607346972|127.0.0.1:8002
Block:110:18498:34725:1607346973|127.0.0.1:8001
Block:111:26644:6204:1607346977|127.0.0.1:8002
Block:111:51719:46278:1607346976|127.0.0.1:8001
Block:112:61045:12809:1607346979|127.0.0.1:8002
Block:112:17442:64874:1607346979|127.0.0.1:8001
Block:113:9150:28864:1607346981|127.0.0.1:8002
Block:114:58344:30173:1607346981|127.0.0.1:8002
Block:115:29064:42012:1607346990|127.0.0.1:8002
Block:116:35073:7926:1607346991|127.0.0.1:8002
Block:117:54643:12880:1607346993|127.0.0.1:8001
Block:118:11269:48126:1607346997|127.0.0.1:8001
Block:119:31412:26297:1607346999|127.0.0.1:8001
Block:120:7562:63554:1607347004|127.0.0.1:8001
Block:120:7562:16288:1607347006|127.0.0.1:8002
Block:121:37608:44993:1607347008|127.0.0.1:8002
Block:121:42997:36907:1607347008|127.0.0.1:8001
Block:122:14941:15660:1607347015|127.0.0.1:8001
Block:123:1824:21525:1607347016|127.0.0.1:8001
Block:122:54654:43183:1607347017|127.0.0.1:8002
Block:124:38556:3866:1607347028|127.0.0.1:8002
Block:124:38556:3:1607347028|127.0.0.1:8001
Block:125:31528:42900:1607347029|127.0.0.1:8002
Block:126:23933:39953:1607347035|127.0.0.1:8001
Block:126:23933:59459:1607347036|127.0.0.1:8002
Block:127:47846:9559:1607347038|127.0.0.1:8002
Block:128:41485:7523:1607347038|127.0.0.1:8002
Block:129:46849:64841:1607347039|127.0.0.1:8002
Block:130:47286:56814:1607347044|127.0.0.1:8001
Block:131:31716:44201:1607347049|127.0.0.1:8001
Block:132:49059:49494:1607347050|127.0.0.1:8001
Block:132:49059:10871:1607347051|127.0.0.1:8002
Block:133:15907:30793:1607347055|127.0.0.1:8002
Block:134:16854:39858:1607347056|127.0.0.1:8002
Block:135:23988:51180:1607347057|127.0.0.1:8002
Block:135:23988:17134:1607347058|127.0.0.1:8001
Block:136:11517:58327:1607347061|127.0.0.1:8002
Block:137:44185:57805:1607347063|127.0.0.1:8002
Block:137:44185:15594:1607347063|127.0.0.1:8001
Block:138:45847:12538:1607347065|127.0.0.1:8002
Block:139:19791:35543:1607347067|127.0.0.1:8001
Block:139:19791:59592:1607347069|127.0.0.1:8002
Block:140:1256:44258:1607347071|127.0.0.1:8001
Block:141:60665:57997:1607347076|127.0.0.1:8002
Block:141:60665:24960:1607347076|127.0.0.1:8001
Block:142:57836:32051:1607347078|127.0.0.1:8001
Block:143:47294:50729:1607347078|127.0.0.1:8001
Block:144:3676:22287:1607347081|127.0.0.1:8001
Block:144:3676:39483:1607347082|127.0.0.1:8002
Block:145:17738:56862:1607347083|127.0.0.1:8002
Block:145:44851:26245:1607347083|127.0.0.1:8001
Block:146:61424:57881:1607347087|127.0.0.1:8001
Block:147:23646:60662:1607347090|127.0.0.1:8002
Block:147:23646:38465:1607347091|127.0.0.1:8001
Block:148:59885:63061:1607347094|127.0.0.1:8002
Block:149:17222:41072:1607347097|127.0.0.1:8002
Block:150:58471:36965:1607347110|127.0.0.1:8002
Block:151:1819:63738:1607347114|127.0.0.1:8001
Block:152:13541:5530:1607347117|127.0.0.1:8002
Block:152:13541:30220:1607347116|127.0.0.1:8001
Block:153:29699:33174:1607347117|127.0.0.1:8002
Block:154:45072:9487:1607347122|127.0.0.1:8002
Block:155:10679:51969:1607347124|127.0.0.1:8002
Block:156:3280:9019:1607347125|127.0.0.1:8002
Block:157:45504:59958:1607347127|127.0.0.1:8002
Block:158:61227:26817:1607347130|127.0.0.1:8002
Block:159:3155:51099:1607347132|127.0.0.1:8002
Block:160:57298:25035:1607347138|127.0.0.1:8001
Block:161:14257:39965:1607347146|127.0.0.1:8001
Block:162:5292:91:1607347148|127.0.0.1:8001
Block:163:42154:56059:1607347152|127.0.0.1:8002
Block:163:42154:20841:1607347152|127.0.0.1:8001
Block:164:46080:42428:1607347154|127.0.0.1:8001
Block:165:62955:55607:1607347156|127.0.0.1:8002
Block:166:20370:49117:1607347156|127.0.0.1:8002
